Country,Year,Urban population
Euro area,2016,76.5521826500544
Euro area,2017,76.7696076166806
Euro area,2018,76.9927749642774
Euro area,2019,77.2316707115529
Euro area,2020,77.4639055479326
Euro area,2021,77.6998925694541
Latin America & Caribbean,1960,49.416929544477
Latin America & Caribbean,1961,50.2175974534243
Latin America & Caribbean,1962,51.0308654060132
Latin America & Caribbean,1963,51.8473066240784
Latin America & Caribbean,1964,52.668606062821
Latin America & Caribbean,1965,53.4352628978187
Latin America & Caribbean,1966,54.2015888285914
Latin America & Caribbean,1967,54.9670385787186
Latin America & Caribbean,1968,55.7334280265184
Latin America & Caribbean,1969,56.4952792934555
Latin America & Caribbean,1970,57.2510680031519
Latin America & Caribbean,1971,58.0122165015701
Latin America & Caribbean,1972,58.7665005202513
Latin America & Caribbean,1973,59.4982497069481
Latin America & Caribbean,1974,60.2245834091689
Latin America & Caribbean,1975,60.9503441291644
Latin America & Caribbean,1976,61.6719685518044
Latin America & Caribbean,1977,62.3934602236647
Latin America & Caribbean,1978,63.11278892062
Latin America & Caribbean,1979,63.8251048251781
Latin America & Caribbean,1980,64.5352744559727
Latin America & Caribbean,1981,65.2278119020758
Latin America & Caribbean,1982,65.8863791188268
Latin America & Caribbean,1983,66.5239265731831
Latin America & Caribbean,1984,67.1536393765454
Latin America & Caribbean,1985,67.7757775552238
Latin America & Caribbean,1986,68.3822757222081
Latin America & Caribbean,1987,68.9762101406475
Latin America & Caribbean,1988,69.5612216130172
Latin America & Caribbean,1989,70.1345923604875
Latin America & Caribbean,1990,70.6927317735225
Latin America & Caribbean,1991,71.2150507660351
Latin America & Caribbean,1992,71.7145101265988
Latin America & Caribbean,1993,72.2021969026158
Latin America & Caribbean,1994,72.6961580931727
Latin America & Caribbean,1995,73.1852403628134
Latin America & Caribbean,1996,73.6524405133964
Latin America & Caribbean,1997,74.1284417019277
Latin America & Caribbean,1998,74.5991392643032
Latin America & Caribbean,1999,75.0534039771346
Latin America & Caribbean,2000,75.5023676958352
Latin America & Caribbean,2001,75.8607251419349
